median_income,per_capita_income,total_population,state,county,tract,tract_geoid,state_abbr
71250.0,29818.0,3817.0,29,001,950100,29001950100,MO
66964.0,30573.0,2843.0,29,001,950200,29001950200,MO
31341.0,22323.0,3280.0,29,001,950300,29001950300,MO
55500.0,33486.0,4139.0,29,001,950400,29001950400,MO
70147.0,77054.0,3688.0,29,001,950501,29001950501,MO
63378.0,30363.0,3588.0,29,001,950502,29001950502,MO
28598.0,17760.0,2235.0,29,001,950900,29001950900,MO
-666666666.0,3073.0,1634.0,29,001,951000,29001951000,MO
92277.0,41952.0,6629.0,29,003,010100,29003010100,MO
52606.0,30933.0,3947.0,29,003,010201,29003010201,MO
67759.0,37301.0,2362.0,29,003,010202,29003010202,MO
73000.0,29778.0,2184.0,29,003,010300,29003010300,MO
77308.0,35124.0,2964.0,29,003,010400,29003010400,MO
59857.0,32484.0,2941.0,29,005,950100,29005950100,MO
57768.0,35711.0,2275.0,29,005,950200,29005950200,MO
58784.0,22136.0,3401.0,29,007,950100,29007950100,MO
69074.0,34137.0,4764.0,29,007,950200,29007950200,MO
71098.0,23449.0,3847.0,29,007,950300,29007950300,MO
36655.0,21674.0,2561.0,29,007,950400,29007950400,MO
56467.0,25986.0,3954.0,29,007,950500,29007950500,MO
60905.0,33145.0,2691.0,29,007,950600,29007950600,MO
53762.0,33822.0,3470.0,29,007,950700,29007950700,MO
87799.0,33163.0,2778.0,29,009,960101,29009960101,MO
44899.0,30895.0,2423.0,29,009,960102,29009960102,MO
70215.0,44672.0,2743.0,29,009,960201,29009960201,MO
55444.0,25473.0,3434.0,29,009,960202,29009960202,MO
46667.0,19268.0,3619.0,29,009,960301,29009960301,MO
59926.0,36367.0,2860.0,29,009,960302,29009960302,MO
55335.0,26550.0,4687.0,29,009,960401,29009960401,MO
58226.0,27814.0,4206.0,29,009,960402,29009960402,MO
60216.0,36897.0,5410.0,29,009,960500,29009960500,MO
60972.0,39114.0,2671.0,29,009,960600,29009960600,MO
54276.0,25905.0,2971.0,29,011,960100,29011960100,MO
54758.0,28859.0,4003.0,29,011,960200,29011960200,MO
35771.0,22434.0,4711.0,29,011,960300,29011960300,MO
76518.0,32432.0,4986.0,29,013,070100,29013070100,MO
67000.0,32162.0,3762.0,29,013,070200,29013070200,MO
36480.0,21516.0,4680.0,29,013,070300,29013070300,MO
51597.0,27905.0,2693.0,29,013,070400,29013070400,MO
61401.0,31226.0,3454.0,29,015,460100,29015460100,MO
60870.0,26795.0,2768.0,29,015,460200,29015460200,MO
48578.0,26204.0,4694.0,29,015,460300,29015460300,MO
51507.0,50481.0,2233.0,29,015,460400,29015460400,MO
48625.0,35488.0,1043.0,29,015,460701,29015460701,MO
