total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
831.0,5.0,129.0,339.0,148.0,80.0,130.0,314.0,18.0,113.0,19,001,960100,1271.0,1.5294825511432009,19001960100
551.0,2.0,91.0,154.0,169.0,90.0,45.0,160.0,2.0,59.0,19,001,960200,770.0,1.397459165154265,19001960200
872.0,20.0,183.0,338.0,223.0,95.0,13.0,452.0,57.0,256.0,19,001,960300,1617.0,1.8543577981651376,19001960300
584.0,5.0,56.0,239.0,187.0,19.0,78.0,88.0,0.0,35.0,19,003,950100,702.0,1.202054794520548,19003950100
671.0,28.0,172.0,225.0,152.0,63.0,31.0,186.0,28.0,79.0,19,003,950200,936.0,1.3949329359165425,19003950200
734.0,6.0,187.0,247.0,196.0,54.0,44.0,175.0,21.0,85.0,19,005,960100,1009.0,1.374659400544959,19005960100
890.0,46.0,155.0,356.0,184.0,92.0,57.0,86.0,12.0,30.0,19,005,960200,972.0,1.0921348314606742,19005960200
1420.0,16.0,521.0,426.0,348.0,98.0,11.0,388.0,21.0,208.0,19,005,960300,2021.0,1.4232394366197183,19005960300
860.0,42.0,106.0,376.0,236.0,97.0,3.0,87.0,9.0,28.0,19,005,960400,942.0,1.0953488372093023,19005960400
809.0,36.0,140.0,316.0,188.0,96.0,33.0,365.0,34.0,113.0,19,005,960500,1285.0,1.588380716934487,19005960500
694.0,13.0,109.0,261.0,182.0,76.0,53.0,216.0,26.0,91.0,19,007,950100,1014.0,1.4610951008645534,19007950100
628.0,0.0,95.0,268.0,162.0,51.0,52.0,98.0,5.0,22.0,19,007,950200,753.0,1.1990445859872612,19007950200
626.0,7.0,181.0,243.0,136.0,59.0,0.0,616.0,135.0,338.0,19,007,950300,1708.0,2.7284345047923324,19007950300
912.0,47.0,305.0,417.0,133.0,0.0,10.0,347.0,58.0,179.0,19,007,950400,1449.0,1.5888157894736843,19007950400
633.0,33.0,107.0,189.0,168.0,103.0,33.0,150.0,0.0,45.0,19,007,950500,795.0,1.2559241706161137,19007950500
567.0,0.0,67.0,247.0,152.0,65.0,36.0,169.0,16.0,30.0,19,009,070100,782.0,1.379188712522046,19009070100
815.0,33.0,212.0,330.0,184.0,32.0,24.0,208.0,77.0,94.0,19,009,070200,1161.0,1.4245398773006135,19009070200
622.0,5.0,143.0,291.0,119.0,51.0,13.0,117.0,5.0,66.0,19,009,070300,805.0,1.2942122186495177,19009070300
917.0,4.0,76.0,387.0,234.0,131.0,85.0,111.0,0.0,11.0,19,011,960100,1035.0,1.128680479825518,19011960100
997.0,3.0,119.0,337.0,278.0,133.0,127.0,210.0,12.0,70.0,19,011,960200,1286.0,1.2898696088264794,19011960200
1679.0,62.0,289.0,966.0,339.0,23.0,0.0,511.0,122.0,184.0,19,011,960300,2434.0,1.4496724240619416,19011960300
1079.0,16.0,254.0,344.0,273.0,152.0,40.0,204.0,3.0,9.0,19,011,960400,1279.0,1.185356811862836,19011960400
1921.0,2.0,220.0,871.0,553.0,193.0,82.0,284.0,23.0,136.0,19,011,960500,2362.0,1.2295679333680374,19011960500
867.0,11.0,123.0,327.0,273.0,79.0,54.0,172.0,9.0,60.0,19,011,960600,1097.0,1.2652825836216839,19011960600
933.0,9.0,178.0,391.0,193.0,129.0,33.0,190.0,54.0,71.0,19,011,960700,1239.0,1.3279742765273312,19011960700
94.0,8.0,47.0,30.0,9.0,0.0,0.0,775.0,468.0,256.0,19,013,000100,1585.0,16.861702127659573,19013000100
360.0,9.0,42.0,185.0,109.0,15.0,0.0,790.0,148.0,349.0,19,013,000200,1638.0,4.55,19013000200
321.0,0.0,167.0,96.0,44.0,0.0,14.0,911.0,305.0,440.0,19,013,000300,1977.0,6.158878504672897,19013000300
497.0,48.0,139.0,224.0,52.0,18.0,16.0,271.0,28.0,72.0,19,013,000400,820.0,1.6498993963782695,19013000400
279.0,0.0,127.0,87.0,15.0,33.0,17.0,351.0,39.0,91.0,19,013,000500,760.0,2.7240143369175627,19013000500
190.0,0.0,93.0,32.0,57.0,0.0,8.0,315.0,61.0,105.0,19,013,000700,671.0,3.531578947368421,19013000700
1059.0,45.0,306.0,487.0,157.0,64.0,0.0,496.0,60.0,286.0,19,013,000800,1856.0,1.752596789423985,19013000800
394.0,24.0,145.0,110.0,106.0,0.0,9.0,862.0,378.0,326.0,19,013,000900,1936.0,4.913705583756345,19013000900
1138.0,28.0,471.0,332.0,193.0,62.0,52.0,360.0,36.0,225.0,19,013,001000,1731.0,1.5210896309314588,19013001000
926.0,25.0,356.0,314.0,198.0,33.0,0.0,253.0,8.0,175.0,19,013,001100,1337.0,1.4438444924406046,19013001100
800.0,3.0,208.0,358.0,203.0,0.0,28.0,174.0,13.0,79.0,19,013,001200,1063.0,1.32875,19013001200
890.0,0.0,278.0,375.0,162.0,44.0,31.0,821.0,137.0,391.0,19,013,001301,2239.0,2.5157303370786517,19013001301
939.0,81.0,231.0,382.0,154.0,57.0,34.0,666.0,47.0,496.0,19,013,001302,2067.0,2.2012779552715656,19013001302
1557.0,12.0,286.0,823.0,367.0,69.0,0.0,206.0,11.0,157.0,19,013,001400,1919.0,1.2324983943481054,19013001400
790.0,15.0,207.0,317.0,173.0,51.0,27.0,819.0,182.0,521.0,19,013,001501,2297.0,2.9075949367088607,19013001501
1313.0,22.0,279.0,684.0,224.0,72.0,32.0,659.0,59.0,432.0,19,013,001502,2441.0,1.859101294744859,19013001502
1247.0,29.0,245.0,654.0,237.0,68.0,14.0,273.0,45.0,104.0,19,013,001503,1640.0,1.3151563753007218,19013001503
705.0,57.0,141.0,344.0,90.0,61.0,12.0,477.0,64.0,213.0,19,013,001600,1402.0,1.9886524822695035,19013001600
389.0,19.0,183.0,95.0,69.0,23.0,0.0,464.0,148.0,244.0,19,013,001701,1226.0,3.151670951156812,19013001701
592.0,44.0,155.0,266.0,90.0,28.0,9.0,305.0,25.0,176.0,19,013,001702,1054.0,1.7804054054054055,19013001702
393.0,34.0,146.0,133.0,63.0,17.0,0.0,378.0,51.0,276.0,19,013,001800,1064.0,2.707379134860051,19013001800
509.0,6.0,166.0,188.0,122.0,21.0,6.0,296.0,59.0,162.0,19,013,001900,1020.0,2.0039292730844793,19013001900
1816.0,21.0,537.0,595.0,329.0,167.0,167.0,698.0,146.0,370.0,19,013,002000,3009.0,1.6569383259911894,19013002000
