total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
603.0,11.0,116.0,180.0,107.0,121.0,68.0,89.0,13.0,36.0,20,001,952600,730.0,1.2106135986733002,20001952600
679.0,18.0,95.0,315.0,122.0,84.0,45.0,133.0,3.0,40.0,20,001,952700,837.0,1.2326951399116348,20001952700
897.0,66.0,274.0,340.0,150.0,59.0,8.0,705.0,137.0,351.0,20,001,952800,2024.0,2.2564102564102564,20001952800
555.0,25.0,123.0,185.0,136.0,32.0,54.0,210.0,19.0,122.0,20,001,952900,881.0,1.5873873873873874,20001952900
848.0,10.0,222.0,258.0,188.0,73.0,97.0,257.0,108.0,102.0,20,001,953000,1305.0,1.5389150943396226,20001953000
1338.0,0.0,422.0,390.0,315.0,89.0,122.0,666.0,161.0,229.0,20,003,953600,2394.0,1.789237668161435,20003953600
983.0,31.0,120.0,356.0,263.0,128.0,85.0,177.0,34.0,70.0,20,003,953700,1233.0,1.254323499491353,20003953700
1567.0,44.0,223.0,540.0,473.0,173.0,114.0,137.0,14.0,57.0,20,005,081600,1731.0,1.1046585832801532,20005081600
975.0,11.0,230.0,422.0,188.0,85.0,39.0,404.0,0.0,267.0,20,005,081701,1635.0,1.676923076923077,20005081701
252.0,0.0,55.0,142.0,41.0,0.0,14.0,116.0,0.0,57.0,20,005,081702,425.0,1.6865079365079365,20005081702
821.0,35.0,238.0,324.0,112.0,44.0,68.0,341.0,100.0,148.0,20,005,081800,1375.0,1.6747868453105967,20005081800
636.0,61.0,147.0,214.0,180.0,22.0,12.0,625.0,209.0,221.0,20,005,081900,1630.0,2.5628930817610063,20005081900
888.0,34.0,144.0,336.0,229.0,116.0,29.0,253.0,47.0,108.0,20,007,968100,1262.0,1.4211711711711712,20007968100
507.0,3.0,106.0,237.0,106.0,33.0,22.0,160.0,28.0,91.0,20,007,968200,783.0,1.544378698224852,20007968200
1174.0,29.0,319.0,376.0,324.0,74.0,52.0,282.0,23.0,161.0,20,009,971100,1611.0,1.3722316865417377,20009971100
663.0,10.0,155.0,149.0,200.0,48.0,101.0,47.0,0.0,17.0,20,009,971200,717.0,1.081447963800905,20009971200
740.0,5.0,186.0,362.0,121.0,54.0,12.0,543.0,76.0,225.0,20,009,971300,1579.0,2.133783783783784,20009971300
616.0,13.0,253.0,259.0,73.0,18.0,0.0,380.0,63.0,174.0,20,009,971400,1220.0,1.9805194805194806,20009971400
977.0,10.0,311.0,381.0,168.0,89.0,18.0,377.0,48.0,245.0,20,009,971500,1637.0,1.6755373592630503,20009971500
