total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
1191.0,36.0,173.0,442.0,390.0,112.0,38.0,121.0,11.0,38.0,29,001,950100,1325.0,1.112510495382032,29001950100
915.0,29.0,185.0,299.0,287.0,81.0,34.0,164.0,16.0,59.0,29,001,950200,1125.0,1.2295081967213115,29001950200
456.0,47.0,154.0,155.0,55.0,13.0,32.0,850.0,120.0,436.0,29,001,950300,1815.0,3.9802631578947367,29001950300
1177.0,70.0,230.0,641.0,226.0,10.0,0.0,480.0,87.0,248.0,29,001,950400,1922.0,1.632965165675446,29001950400
703.0,44.0,225.0,302.0,93.0,21.0,18.0,631.0,87.0,237.0,29,001,950501,1614.0,2.2958748221906116,29001950501
744.0,5.0,287.0,308.0,114.0,19.0,11.0,424.0,24.0,162.0,29,001,950502,1349.0,1.8131720430107527,29001950502
367.0,8.0,148.0,159.0,32.0,8.0,12.0,605.0,62.0,189.0,29,001,950900,1215.0,3.310626702997275,29001950900
4.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,14.0,29,001,951000,33.0,8.25,29001951000
1837.0,14.0,317.0,893.0,414.0,130.0,69.0,414.0,26.0,176.0,29,003,010100,2439.0,1.3277082199237888,29003010100
1083.0,0.0,259.0,389.0,282.0,124.0,29.0,442.0,115.0,254.0,29,003,010201,1894.0,1.7488457987072945,29003010201
768.0,48.0,184.0,254.0,179.0,103.0,0.0,392.0,0.0,287.0,29,003,010202,1399.0,1.8216145833333333,29003010202
688.0,27.0,129.0,262.0,158.0,60.0,52.0,126.0,1.0,23.0,29,003,010300,811.0,1.1787790697674418,29003010300
998.0,22.0,124.0,390.0,306.0,81.0,75.0,132.0,2.0,24.0,29,003,010400,1134.0,1.1362725450901803,29003010400
939.0,26.0,255.0,363.0,215.0,61.0,19.0,403.0,52.0,212.0,29,005,950100,1580.0,1.6826411075612353,29005950100
722.0,8.0,131.0,371.0,152.0,42.0,18.0,310.0,23.0,115.0,29,005,950200,1162.0,1.6094182825484764,29005950200
650.0,24.0,208.0,269.0,102.0,47.0,0.0,352.0,27.0,155.0,29,007,950100,1160.0,1.7846153846153847,29007950100
1817.0,8.0,360.0,689.0,433.0,232.0,95.0,325.0,13.0,115.0,29,007,950200,2262.0,1.2449091909741332,29007950200
