total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
1540.0,17.0,203.0,693.0,397.0,166.0,64.0,155.0,12.0,26.0,31,001,965400,1716.0,1.1142857142857143,31001965400
1307.0,0.0,307.0,557.0,234.0,125.0,84.0,331.0,5.0,122.0,31,001,965500,1765.0,1.3504208110175975,31001965500
1387.0,25.0,277.0,438.0,453.0,74.0,120.0,540.0,67.0,222.0,31,001,965600,2191.0,1.5796683489545782,31001965600
231.0,0.0,37.0,94.0,35.0,25.0,40.0,397.0,151.0,141.0,31,001,965700,920.0,3.982683982683983,31001965700
580.0,22.0,131.0,240.0,49.0,62.0,76.0,392.0,19.0,208.0,31,001,965800,1177.0,2.029310344827586,31001965800
1458.0,19.0,302.0,631.0,397.0,58.0,51.0,379.0,85.0,157.0,31,001,965900,2060.0,1.412894375857339,31001965900
992.0,28.0,245.0,421.0,256.0,22.0,20.0,922.0,165.0,448.0,31,001,966000,2499.0,2.5191532258064515,31001966000
360.0,0.0,112.0,165.0,42.0,33.0,8.0,760.0,150.0,468.0,31,001,966100,1738.0,4.8277777777777775,31001966100
796.0,7.0,108.0,242.0,262.0,112.0,65.0,135.0,0.0,48.0,31,001,966200,972.0,1.221105527638191,31001966200
554.0,11.0,68.0,172.0,189.0,57.0,57.0,207.0,5.0,33.0,31,003,979600,788.0,1.4223826714801444,31003979600
461.0,5.0,115.0,186.0,87.0,53.0,15.0,192.0,34.0,87.0,31,003,979700,769.0,1.668112798264642,31003979700
916.0,17.0,209.0,255.0,245.0,125.0,65.0,277.0,15.0,120.0,31,003,979800,1311.0,1.4312227074235808,31003979800
132.0,0.0,15.0,39.0,28.0,14.0,36.0,48.0,0.0,16.0,31,005,958300,196.0,1.4848484848484849,31005958300
165.0,2.0,24.0,53.0,40.0,26.0,20.0,70.0,1.0,5.0,31,007,954000,239.0,1.4484848484848485,31007954000
142.0,0.0,24.0,46.0,31.0,26.0,15.0,39.0,1.0,18.0,31,009,972400,200.0,1.408450704225352,31009972400
1166.0,12.0,184.0,382.0,342.0,187.0,59.0,244.0,10.0,78.0,31,011,960100,1486.0,1.2744425385934819,31011960100
574.0,12.0,134.0,288.0,86.0,38.0,16.0,231.0,49.0,104.0,31,011,960200,946.0,1.6480836236933798,31011960200
639.0,2.0,83.0,158.0,225.0,112.0,59.0,177.0,24.0,60.0,31,013,951100,898.0,1.405320813771518,31013951100
